NacionalidadeEmbarcacao;Ano Acordo Bilateral;Total Acordo Bilateral;AcordoTipoNavegacao;País;FlagEmbarqueDesembarque
Estrangeiras;2013;2484358;082;Longo Curso;ALEMANHA;1
Brasilieiras;2013;313006;165;Longo Curso;ALEMANHA;1
Não Informado;2013;7700;98;Longo Curso;ALEMANHA;1
Estrangeiras;2013;2535466;136;Longo Curso;ARGÉLIA;1
Brasilieiras;2013;588451;416;Longo Curso;ARGÉLIA;1
Estrangeiras;2013;770486;674;Longo Curso;FRANÇA;1
Brasilieiras;2013;117223;142;Longo Curso;FRANÇA;1
Não Informado;2013;9557;081;Longo Curso;FRANÇA;1
Brasilieiras;2013;7850;9;Longo Curso;POLÔNIA;1
Estrangeiras;2013;621644;98;Longo Curso;POLÔNIA;1
Não Informado;2013;186;746;Longo Curso;POLÔNIA;1
Estrangeiras;2013;918362;385;Longo Curso;PORTUGAL;1
Brasilieiras;2013;135769;068;Longo Curso;PORTUGAL;1
Não Informado;2013;479;83;Longo Curso;PORTUGAL;1
Estrangeiras;2013;18426;15;Longo Curso;ROMÊNIA;1
Brasilieiras;2013;10195;286;Longo Curso;ROMÊNIA;1
Brasilieiras;2013;180512;275;Longo Curso;RUSSIA;1
Estrangeiras;2013;3817501;104;Longo Curso;RUSSIA;1
Não Informado;2013;15379;96;Longo Curso;RUSSIA;1
Estrangeiras;2013;26474594;025999;Longo Curso;ESTADOS UNIDOS;1
Brasilieiras;2013;2675715;Longo Curso;ESTADOS UNIDOS;1
Não Informado;2013;151623;353;Longo Curso;ESTADOS UNIDOS;1
Estrangeiras;2013;1101792;99;Longo Curso;URUGUAI;1
Brasilieiras;2013;306008;901;Longo Curso;URUGUAI;1
Não Informado;2013;76587;011;Longo Curso;URUGUAI;1
Brasilieiras;2013;1408987;978;Longo Curso;ARGENTINA;2
Estrangeiras;2013;6977724;0840001;Longo Curso;ARGENTINA;2
Estrangeiras;2013;5597865;187;Interior;ARGENTINA;2
Não Informado;2013;38666;778;Longo Curso;ARGENTINA;2
Brasilieiras;2013;204761;Interior;ARGENTINA;2
Estrangeiras;2013;99814;041;Longo Curso;BULGÁRIA;2
Não Informado;2013;10870;26;Longo Curso;BULGÁRIA;2
Brasilieiras;2013;15364;691;Longo Curso;BULGÁRIA;2
Brasilieiras;2013;119705;446;Longo Curso;CHILE;2
Estrangeiras;2013;838334;58799999;Longo Curso;CHILE;2
Não Informado;2013;3298;5;Longo Curso;CHILE;2
Estrangeiras;2013;198942856;20891;Longo Curso;CHINA;2
Brasilieiras;2013;3742733;4939998;Longo Curso;CHINA;2
Não Informado;2013;172050;091;Longo Curso;CHINA;2
Estrangeiras;2013;6228920;6600001;Longo Curso;ALEMANHA;2
Brasilieiras;2013;438625;585;Longo Curso;ALEMANHA;2
Não Informado;2013;5184;075;Longo Curso;ALEMANHA;2
Estrangeiras;2013;2317699;008;Longo Curso;ARGÉLIA;2
Brasilieiras;2013;371039;434;Longo Curso;ARGÉLIA;2
Estrangeiras;2013;10422675;849;Longo Curso;FRANÇA;2
Brasilieiras;2013;358179;294;Longo Curso;FRANÇA;2
Não Informado;2013;2334;895;Longo Curso;FRANÇA;2
Estrangeiras;2013;220100;137;Longo Curso;POLÔNIA;2
Brasilieiras;2013;882;952;Longo Curso;POLÔNIA;2
Não Informado;2013;86;99;Longo Curso;POLÔNIA;2
Estrangeiras;2013;1253034;694;Longo Curso;PORTUGAL;2
Brasilieiras;2013;28085;521;Longo Curso;PORTUGAL;2
Não Informado;2013;56;71;Longo Curso;PORTUGAL;2
Estrangeiras;2013;1223199;253;Longo Curso;ROMÊNIA;2
Brasilieiras;2013;25899;127;Longo Curso;ROMÊNIA;2
Não Informado;2013;53;5;Longo Curso;ROMÊNIA;2
Estrangeiras;2013;1452515;347;Longo Curso;RUSSIA;2
Brasilieiras;2013;95497;062;Longo Curso;RUSSIA;2
Não Informado;2013;742;03;Longo Curso;RUSSIA;2
Estrangeiras;2013;15891043;117;Longo Curso;ESTADOS UNIDOS;2
Brasilieiras;2013;6738164;4370001;Longo Curso;ESTADOS UNIDOS;2
Não Informado;2013;398970;131;Longo Curso;ESTADOS UNIDOS;2
Brasilieiras;2013;118782;237;Longo Curso;URUGUAI;2
Estrangeiras;2013;319296;44;Longo Curso;URUGUAI;2
Estrangeiras;2013;89192;Interior;URUGUAI;2
Não Informado;2013;1091;57;Longo Curso;URUGUAI;2
Brasilieiras;2013;5524;628;Interior;URUGUAI;2
Estrangeiras;2014;5764027;3360001;Longo Curso;ARGENTINA;1
Brasilieiras;2014;886348;003;Longo Curso;ARGENTINA;1
Não Informado;2014;172966;412;Longo Curso;ARGENTINA;1
Estrangeiras;2014;2818;846;Interior;ARGENTINA;1
Brasilieiras;2014;4238;744;Interior;ARGENTINA;1
Estrangeiras;2014;5064;463;Longo Curso;BULGÁRIA;1
Brasilieiras;2014;17;18;Longo Curso;BULGÁRIA;1
Estrangeiras;2014;2867379;178;Longo Curso;CHILE;1
Brasilieiras;2014;324097;211;Longo Curso;CHILE;1
Não Informado;2014;24072;177;Longo Curso;CHILE;1
Brasilieiras;2014;1763491;708;Longo Curso;CHINA;1
